N,time
1641,17.355921
1641,17.352459
1641,17.674158
1661,19.383985
1661,19.093697
1661,19.178478
1661,19.328884
1661,19.407689
1661,19.108280
1661,19.182437
1661,19.061128
1661,19.230306
1661,19.417760
1661,19.217962
1661,19.094092
1661,19.368902
1661,19.229144
1661,19.157371
1681,20.083359
1681,19.729561
1681,19.862644
1681,19.579173
1681,19.690840
1681,20.167275
1681,19.617281
1681,19.679674
1681,19.647174
1681,19.727419
1681,19.674893
1681,19.920218
1681,19.640481
1681,19.672857
1681,19.585248
1701,21.264217
1701,21.258764
1701,21.393993
1701,21.319614
1701,21.363081
1701,21.567726
1701,21.385887
1701,21.375981
1701,21.343084
1701,21.256189
1701,21.363334
1701,21.397387
1701,21.287573
1701,21.426473
1701,21.407751
1721,23.066868
1721,23.107686
1721,23.162748
1721,23.074407
1721,23.485536
1721,23.215284
1721,23.217114
1721,23.376919
1721,23.123827
1721,23.353713
1721,23.273804
1721,23.354814
1721,23.075968
1721,23.453657
1721,23.267850
1741,24.198380
1741,24.026742
1741,24.360079
1741,24.223163
1741,24.160212
1741,24.270791
1741,24.248150
1741,24.038142
1741,24.357075
1741,24.251854
1741,24.075516
1741,24.158390
1741,24.201753
1741,24.115102
1741,24.448711
1761,25.293938
1761,25.247032
1761,25.199122
1761,25.416519
1761,25.230708
1761,25.320858
1761,25.157429
1761,25.252077
1761,25.181788
1761,25.293979
1761,25.337111
1761,25.477049
1761,25.294836
1761,25.250418
1761,25.303557
1781,27.301827
1781,27.513044
1781,27.333499
1781,27.310595
1781,27.375744
1781,27.385644
1781,27.541988
1781,27.597258
1781,27.529161
1781,27.522010
1781,27.402869
1781,27.449914
1781,27.493856
1781,27.612712
1781,27.502025
1801,27.765450
1801,27.968639
1801,28.171881
1801,28.235860
1801,27.979415
1801,28.132370
1801,27.857419
1801,27.819684
1801,23.470580
1801,12.830599
1801,10.854421
1801,10.283291
1801,10.247680
1801,10.359715
1801,10.334780
1821,28.785069
1821,28.940204
1821,28.757763
1821,29.158962
1821,28.795147
1821,28.803245
1821,28.762684
1821,28.831476
1821,28.806866
1821,29.022569
1821,28.862632
1821,28.726849
1821,28.898747
1821,29.097114
1821,28.841446
1841,31.689969
1841,31.748984
1841,31.630910
1841,31.640376
1841,31.847202
1841,31.581604
1841,31.566598
1841,31.845124
1841,31.859105
1841,31.944921
1841,31.632012
1841,31.497466
1841,31.631807
1841,31.833719
1841,31.764225
1861,32.664911
1861,32.616057
1861,32.610006
1861,32.796380
1861,32.608125
1861,32.575177
1861,32.566574
1861,32.549277
1861,32.443401
1861,32.498901
1861,32.472270
1861,32.642125
1861,32.639413
1861,32.446091
1861,32.573239
1881,34.581700
1881,34.541651
1881,34.407596
1881,34.481768
1881,34.584338
1881,34.480560
1881,34.733125
1881,34.507705
1881,34.578408
1881,34.592721
1881,34.778116
1881,34.548767
1881,34.569924
1881,34.661580
1881,34.833094
1901,36.230994
1901,35.948496
1901,36.167942
1901,35.983538
1901,35.992556
1901,35.960980
1901,36.065001
1901,36.104051
1901,36.219395
1901,35.956514
1901,36.117356
1901,36.058987
1901,36.055664
1901,35.831589
1901,35.920369
1921,37.188674
1921,37.313150
1921,37.060364
1921,37.113076
1921,37.115501
1921,37.070791
1921,37.135047
1921,37.067060
1921,37.184714
1921,37.554353
1921,37.415275
1921,37.139787
1921,37.258459
1921,37.426009
1921,37.282299
1941,37.263904
1941,37.388935
1941,37.546884
1941,37.689863
1941,37.502334
1941,37.525665
1941,37.365019
1941,37.280171
1941,37.391883
1941,37.457443
1941,37.323325
1941,37.560862
1941,37.276589
1941,37.276718
1941,37.340992
1961,42.515645
1961,42.493527
1961,42.501179
1961,42.719958
1961,42.643808
1961,42.638608
1961,42.602906
1961,42.537763
1961,42.733296
1961,42.716704
1961,42.942579
1961,42.712324
1961,42.698332
1961,42.522093
1961,42.658059
1981,42.530062
1981,42.395326
1981,42.603536
1981,42.403447
1981,42.325822
1981,42.461686
1981,42.336852
1981,42.371421
1981,42.318989
1981,42.327818
1981,42.428990
1981,42.176895
1981,42.284582
1981,42.237732
1981,42.218364
2001,42.117390
2001,42.120278
2001,42.445969
2001,42.153406
2001,41.986913
2001,42.014153
2001,42.202380
2001,42.132035
2001,42.196265
2001,42.561611
2001,42.216169
2001,42.252628
2001,42.671190
2001,42.182129
2001,42.148991
2021,46.115244
2021,46.136868
2021,45.980008
2021,46.073099
2021,45.921092
2021,45.992957
2021,46.054516
2021,45.990766
2021,46.145233
2021,45.874371
2021,46.165143
2021,45.965134
2021,45.919263
2021,45.948882
2021,46.202525
2041,51.072286
2041,51.212474
2041,51.123816
2041,51.118200
2041,51.189794
2041,51.371325
2041,51.133114
2041,51.228703
2041,51.054462
2041,51.073845
2041,51.057868
2041,51.224946
2041,50.949493
2041,50.941505
2041,50.972550
